X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
68.7638464690533,38.5334714737618,"1224881831",node,6.25,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,67780131,2,2019/03/04 19:48:49+00,80c1b011bd0a45d5bda170f3cd284275
68.7798814689194,38.6253920340093,"6911164985",node,15.625,clinic,,Поликлиника #8,,,,,,,,,,,,,,,,,,,,"186",хиёбони Рӯдакӣ,,,76132807,1,2019/10/24 05:22:11+00,6001ac3459994fd0a5b564619c0246f9
,,"379952611",way,9.375,doctors,,Doctors Surgety,,,,,,,,,,,,,,,,,,,,,,,,36564376,2,2016/01/14 06:31:51+00,4b0b40273a8c4d208289db5b4f7533b1
,,"1253694978",way,12.5,hospital,hospital,Ёрии таъҷилии ш.Кӯлоб,,,,,,,,,,,,,,,,,,,,,,,,147785155,1,2024/02/22 18:45:53+00,75b358adcf934c2c9e95d72b2efdcc4d
,,"686875278",way,21.875,hospital,hospital,Поликлиника,,,,,,,,,,,,,,,,,,,,,1-й микрорайон,"735000",Турсунзаде,69733300,1,2019/04/30 12:56:36+00,9953cf1d8ecd45459ad2c3ea672cafd5
,,"391712803",way,9.375,doctors,,First Aid Post,,,,,,,,,,,,,,,,,,,,,,,,36610534,1,2016/01/16 09:39:38+00,ee79f1f475e64381abd2a9e22f787771
68.7978445579725,38.5710389961474,"6549078723",node,15.625,pharmacy,pharmacy,Camcon,,,,,,,,,,,yes,,,,,,,,,,,,,77876180,2,2019/12/03 12:25:38+00,b0f79fc2de874b28aa3da4115113ea25
69.7890774469791,40.2598089219311,"4434432990",node,12.5,pharmacy,,,,,,,,Mo-Su 10:00-22:00,,,,,,,,,,,,,,,Мирзо Турсунзода,,,137903644,5,2023/06/29 06:06:04+00,86b81be967e84816a29902eb60439ff0
68.803680374238,38.5583410833918,"9766091376",node,15.625,pharmacy,pharmacy,Дорухона,,,,,,,,,,,yes,,,,,,,,,,,,,121401860,1,2022/05/24 06:05:33+00,ace1892ae378413abf9cc3b5ad7ef08a
69.4041764299378,37.4916657852245,"4979817524",node,12.5,clinic,,Поликлиника,,,,,,,,,,,,,,,,,,,,,Ш. Шохтемур,,,50409713,1,2017/07/19 15:42:29+00,9ad98181dd2245e883255b7d950a80e1
,,"393201293",way,9.375,doctors,,First Aid Post,,,,,,,,,,,,,,,,,,,,,,,,36775106,1,2016/01/24 12:45:31+00,95f03c885f894430a565013f53f7c42d
,,"876554623",way,12.5,pharmacy,pharmacy,,,,,,,,,,,,yes,,,,,,,,,,,,,94707656,1,2020/11/24 12:51:36+00,f9bc1b57d0774619882bd7626a1fdc8e
,,"329622345",way,9.375,doctors,,Doctor's Surgery,,,,,,,,,,,,,,,,,,,,,,,,36673147,2,2016/01/19 06:46:17+00,c86cf3a7d96d4391b3fb6abe21f3d061
