school_id,school_name,school_lon,school_lat,nearest_hospital_dist,nearest_clinic_dist,nearest_pharmacy_dist,nearest_any_facility_dist,nearest_facility_type,nearest_facility_name,hospitals_within_5km,clinics_within_5km,total_facilities_within_10km,weighted_access_score,access_risk_category
70,American School,68.7950276,38.571987,0.004706583546582446,0.009012053500529384,0.0015504751751563926,0.0015504751751563926,pharmacy,,31,10,192,0.058746020443206884,Low Risk
71,Мактаби махсуси ҷумҳуриявӣ,68.7940374,38.5719162,0.004718542146357103,0.00896376307988154,0.002540099405914375,0.002540099405914375,pharmacy,,31,10,192,0.06082693884412579,Low Risk
72,,68.7963474,38.5797044,0.00232865664239287,0.0031131546630330225,0.00290224302590317,0.00232865664239287,hospital,Детская больница,28,11,191,0.02853483807396237,Low Risk
73,Гимназияи №74 (тоҷикӣ),68.766443,38.5296773,0.003908267942857802,0.035535895771134446,0.00488990033756821,0.003908267942857802,hospital,,16,3,192,0.11434905426114225,Low Risk
74,Мактаби таҳсилоти миёнаи умумии №3,68.7650367,38.527898,0.005699145504365411,0.03700754166342889,0.005407884935567356,0.004465098095458918,dentist,Стоматология,16,3,192,0.11621158137441738,Low Risk
75,№3,68.7650399,38.5279063,0.005691698904860521,0.03699991339008085,0.005401876405976632,0.00445980071504293,dentist,Стоматология,16,3,192,0.1161767362983409,Low Risk
76,Массива Тахсилоти Миёнаи умумии №27,68.0613918,39.3454071,0.003290795685868671,0.3884747502902232,0.479015669832518,0.003290795685868671,hospital,,1,0,1,6.381663445952723,High Risk
77,,68.4283112,39.2348252,0.2030649801987148,0.10263854346285425,0.19324409045701846,0.10263854346285425,clinic,,0,0,0,4.259662966431458,Medium Risk
78,,68.4279867,39.2346943,0.20337698252687697,0.10260295963832627,0.19353607507397355,0.10260295963832627,clinic,,0,0,0,4.2606757729660085,Medium Risk
79,мактаби 20 ба номи С. Аллаёров,68.7173255,39.693309,0.3427687911601614,0.35412541654032736,0.34208757002298446,0.34208757002298446,pharmacy,,0,0,0,3.444649082225607,Medium Risk
80,м 54 н Шахринав,68.3778834,38.5799143,0.03809842332942446,0.1542219548997311,0.047044923861581565,0.03809842332942446,hospital,isham,3,0,8,1.3595348715673574,Medium Risk
81,ср.школа №9 Шахринавски раён ба номи SaFaRaLi,68.4216979,38.5609608,0.009146088270465256,0.13377794084824043,0.05051534630364262,0.009146088270465256,hospital,AhLiDIn,3,0,10,1.0932975637932785,Medium Risk
82,Мактаби миенаи тахсилоти умумии №38,68.751523,38.5379375,0.013107756477288842,0.027375698194310343,0.00987601111881739,0.00987601111881739,pharmacy,,20,4,191,0.15823623701267298,Low Risk
83,,68.743655,38.5359446,0.02034236406911724,0.03214702357609851,0.011437707537714462,0.011437707537714462,pharmacy,,14,1,191,0.19908704980832176,Medium Risk
84,Музыкальная школа им М.Атоева,68.7479063,38.5315146,0.016059836374249844,0.0345689397566972,0.013106839801533411,0.013106839801533411,pharmacy,Дорухона,8,1,192,0.1827651601923253,Low Risk
85,Таджикский государственный институт культуры и искусства им. Мирза Турсун-заде,68.7498881,38.5297455,0.014447108606975014,0.035714451204476284,0.011033040374466199,0.011033040374466199,pharmacy,Дорухона,6,2,190,0.1674169763160589,Low Risk
86,Маркази омӯзиши забонҳои хориҷӣ,68.7909928,38.5743121,0.004001604931303411,0.006997367691969024,0.0014913991360439216,0.0014913991360439216,pharmacy,Аптека No. 5,31,10,192,0.04508915044128441,Low Risk
87,Нусратулло Сафаров - 59,69.4099662,37.4869475,0.008942502669361637,0.007468845481919948,0.4026822769714303,0.007468845481919948,clinic,Поликлиника,2,1,3,4.526515852292399,Medium Risk
88,,69.979741,37.8042258,0.15020295177153997,0.2027166632425155,0.20581624122298608,0.15020295177153997,hospital,Беморхонаи рақамӣи,0,0,0,6.582250343446987,High Risk
102,,70.8314728,38.4538335,0.041842814992657365,0.46137021976606124,0.04107472662101347,0.001262401117388526,doctors,,2,0,11,4.7102436921312885,Medium Risk
103,Мактаби №87,68.7116351,38.5827756,0.015667035330422494,0.0038360321449284474,0.013069073789918366,0.0038360321449284474,clinic,Маркази саломатии шаҳрӣ №5,8,2,175,0.1890550279260508,Low Risk
104,,71.970455,37.9693368,0.1318138919118118,0.40519854380957554,0.40634150142886927,0.0005459869244829978,doctors,Doctors Surgery,0,0,1,3.812323734472125,Medium Risk
105,,71.6707583,38.5042891,0.23510075736495126,0.4408832236471485,0.5680764849438695,0.012233209697787534,doctors,,0,0,3,5.642280685539834,High Risk
106,,71.5051915,38.4008244,0.039865391201734116,0.2480853903613195,0.4559371586258584,0.01748898249400082,doctors,,1,0,6,4.562453604116635,Medium Risk
107,Школа N 1,68.8009251,37.7634192,0.011562405126072766,0.07188017599722168,0.011075593850238279,0.011075593850238279,pharmacy,Аптека Урманова,1,0,55,0.39803668164213424,Medium Risk
108,Ддд,69.3435733,38.09892,0.324710269795466,0.4754213546284552,0.2920739672013641,0.2920739672013641,pharmacy,,0,0,0,4.439601520435759,Medium Risk
109,Дангаранскйй Государственной Университет,69.3431383,38.0983467,0.3240981149151017,0.4756060770194753,0.292605920063859,0.292605920063859,pharmacy,,0,0,0,4.437560353951303,Medium Risk
110,School of Sari Khosor,69.8334378,38.5324868,0.0010052265716525195,0.2959760423984356,0.18416160183505337,0.0010052265716525195,hospital,Shaydon Hospital,1,0,1,5.547000116724648,High Risk
111,,72.0236278,37.7380023,0.35520334554748123,0.5029682513426582,0.43827786364706073,0.0006641376768459445,doctors,,0,0,1,3.902454293156974,Medium Risk
112,,72.0241002,37.7381345,0.3552803036755618,0.5033434615504596,0.4387551336171461,0.0011313855356158257,doctors,,0,0,1,3.906574284309267,Medium Risk
113,,71.9759935,37.7238132,0.35171757474237175,0.4666441387700421,0.3898840828566523,0.049098064380045464,doctors,,0,0,2,3.650729959726088,Medium Risk
114,Мактаби 49,69.6300259,40.2690739,0.012564805795316714,0.031303767425724015,0.008344470467048693,0.008344470467048693,pharmacy,Центральная аптека 7,10,5,40,0.16562463039559996,Low Risk
115,П.ПУЛАТОВА,69.6299172,40.2777315,0.006173918508039953,0.02413445837693056,0.0025082664534654925,0.0025082664534654925,pharmacy,Мадад,10,5,40,0.11041415579137415,Low Risk
116,Школа  49 филиал,69.6229799,40.2683803,0.0128958138480393,0.02909453391576515,0.012245396793930293,0.012245396793930293,pharmacy,Мадад,10,5,39,0.15939677090679516,Low Risk
117,Частная школа Паймони Азизон,69.6107716,40.2744233,0.01118595795170177,0.02202701622372496,0.009500585259044321,0.008711205248377341,doctors,санэпидем-стансия,9,5,39,0.11202108934390548,Low Risk
118,Частная школа Гулчини маърифат,69.6133213,40.2744092,0.009431808232016597,0.021774742432843563,0.01117540411984374,0.009431808232016597,hospital,Поликлиника №1,9,5,39,0.1166969660945297,Low Risk
119,Гимназии «Кавсар,69.6113035,40.2755566,0.010051175945065941,0.020825420573006573,0.010569666914841314,0.009275622098996636,dentist,,9,5,39,0.10966817951445602,Low Risk
