name,name:en,amenity,building,operator:type,capacity:persons,addr:full,addr:city,source,name:tg,osm_id,osm_type,healthcare_distance_risk,healthcare_capacity_risk,road_condition_risk,infrastructure_age_risk,environmental_risk,nearest_overall_dist,nearest_facility_type,nearest_facility_name,facilities_within_5km,facilities_within_10km,emergency_access_score,composite_risk_score,risk_category,priority_rank,ccri_supplement_ready,analysis_date,country,facility_access_group
Школа № 60,,school,,,,,,,,6431350286,nodes,0.005727107064851104,0.9623655913978495,0.04243353051670112,0.380414786153201,0.1208574533909883,0.004934616208998914,hospital,Больница Чинор,1.0,7.0,0.9013076758200217,0.26819107897397265,Medium-Low Risk,214.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
lfgs,,school,,,,,,,,6549045310,nodes,0.003960867211828872,0.9946236559139785,0.04133320147866276,0.34039429508159497,0.12047273232391925,0.00350769402456637,hospital,Беморхонаи марказии н.Гончи,1.0,1.0,0.9298461195086726,0.26772711595503673,Medium-Low Risk,215.0,True,2025-06-17T13:08:11.477365,Tajikistan,0-1
Мактаби №4 ба номи Т. Собиров,,school,,,,,Ваҳдат,,,976899820,nodes,0.07144132033231002,0.978494623655914,0.35886848863208565,0.525100576740115,0.1352838313459747,0.05802427364336109,hospital,,1.0,4.0,0.0,0.3959497870838287,Medium-Low Risk,155.0,True,2025-06-17T13:08:11.477365,Tajikistan,4-5
садик №101,,school,,,,,,,,1157184994,nodes,0.010776606800764778,0.989247311827957,0.06424599036077472,0.3450890410924336,0.13625482922606155,0.00721123304920216,clinic,,2.0,2.0,0.8557753390159568,0.27625886996122084,Medium-Low Risk,204.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
bahodur,,school,,,,,,,,6549045352,nodes,0.24628499959971573,1.0,0.03879877347324073,0.33924804833046596,0.12606550459482505,0.11956692361021401,doctors,Doctor's Surgery,0.0,0.0,0.0,0.35308992570752185,Medium-Low Risk,174.0,True,2025-06-17T13:08:11.477365,Tajikistan,
Школа  15,Shkola 15,school,,,,,,,,4929586823,nodes,0.01643419682953834,0.967741935483871,0.18304742311779348,0.41424207288394144,0.20579122716287537,0.008150840787310957,doctors,Doctor's Surgery,5.0,6.0,0.8369831842537809,0.317488084057296,Medium-Low Risk,186.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
,,school,,,,,,,,3959737221,nodes,0.003795152855638955,0.967741935483871,0.6463306240004464,0.610909090909091,0.25923271838643197,0.0020242893320771577,doctors,Doctor's Surgery,5.0,6.0,0.9595142133584569,0.4610573461520447,Medium-Low Risk,131.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
"Кипарх, архитектурная школа",,school,,,,,,,,9766421128,nodes,0.00017519437105855947,0.967741935483871,0.06561373048277369,0.39069476666180697,0.12191448820436146,0.0002695789309272772,doctors,Doctor's Surgery,4.0,6.0,0.9946084213814544,0.27471307715682725,Medium-Low Risk,208.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
Общежитие #8 ТГПУ имени С. АЙНИ,Dormitory #8 TSPU after named by S. Ainy,school,,,,,,,,1156232292,nodes,0.003972421386032306,0.005376344086021501,0.054971272817549044,0.34303737464697176,0.11982683449828396,0.0035170284914936493,hospital,"Медицинские ""Шифо""",124.0,185.0,0.929659430170127,0.07365538242866282,Low Risk,245.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
гимназияи. сомони,,school,,,,,,,,1156231127,nodes,0.0027775420438113066,0.010752688172043001,0.05401967711436623,0.2828358568074631,0.11960982688607757,0.0010206804103176823,pharmacy,,119.0,184.0,0.9795863917936464,0.06503346649375745,Low Risk,251.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
